2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
2025-04-09 02:45:11,596 p=42190 u=root n=ansible | TASK [splunk : Configure Auditd] ******************************************************************************************************************************************************************************************************************
2025-04-09 02:45:11,631 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:11,662 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:11,692 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:11,700 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:11,722 p=42190 u=root n=ansible | TASK [Run splunk version command to check currently installed version] ****************************************************************************************************************************************************************************
2025-04-09 02:45:11,933 p=42190 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/check_splunk_version.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:45:12,010 p=42190 u=root n=ansible | TASK [Run splunk version command to check currently installed version] ****************************************************************************************************************************************************************************
2025-04-09 02:45:12,363 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:12,378 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:12,430 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:12,467 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:12,488 p=42190 u=root n=ansible | TASK [splunk : Get Splunk version number only] ****************************************************************************************************************************************************************************************************
2025-04-09 02:45:12,559 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:12,594 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:12,596 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:12,621 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:12,643 p=42190 u=root n=ansible | TASK [splunk : Checkpoint: Version] ***************************************************************************************************************************************************************************************************************
2025-04-09 02:45:12,713 p=42190 u=root n=ansible | ok: [rh8-ds-1] => 
  msg: 'The value of splunk_package_version is: 9.3.0 and the splunk_version_release is: 9.3.0'
2025-04-09 02:45:12,745 p=42190 u=root n=ansible | ok: [rh8-sh-1] => 
  msg: 'The value of splunk_package_version is: 9.3.0 and the splunk_version_release is: 9.3.0'
2025-04-09 02:45:12,747 p=42190 u=root n=ansible | ok: [rh8-idx-1] => 
  msg: 'The value of splunk_package_version is: 9.3.0 and the splunk_version_release is: 9.3.0'
2025-04-09 02:45:12,768 p=42190 u=root n=ansible | ok: [rh8-idx-2] => 
  msg: 'The value of splunk_package_version is: 9.3.0 and the splunk_version_release is: 9.3.0'
2025-04-09 02:45:12,792 p=42190 u=root n=ansible | TASK [splunk : Checkpoint: Package] ***************************************************************************************************************************************************************************************************************
2025-04-09 02:45:12,859 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:12,890 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:12,892 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:12,911 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:12,932 p=42190 u=root n=ansible | TASK [splunk : Check if Splunk needs to be stopped if we are not at the expected version] *********************************************************************************************************************************************************
2025-04-09 02:45:13,001 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:13,034 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:13,036 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:13,055 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:13,076 p=42190 u=root n=ansible | TASK [Stop Splunk if not at expected version and splunk is currently running] *********************************************************************************************************************************************************************
2025-04-09 02:45:13,143 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:13,176 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:13,178 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:13,195 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:13,219 p=42190 u=root n=ansible | TASK [splunk : Upgrade Splunk if not at expected version] *****************************************************************************************************************************************************************************************
2025-04-09 02:45:13,255 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:13,288 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:13,320 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:13,340 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:13,344 p=42190 u=root n=ansible | PLAY RECAP ****************************************************************************************************************************************************************************************************************************************
2025-04-09 02:45:13,345 p=42190 u=root n=ansible | rh8-ds-1                   : ok=23   changed=0    unreachable=0    failed=0    skipped=20   rescued=0    ignored=0   
2025-04-09 02:45:13,345 p=42190 u=root n=ansible | rh8-idx-1                  : ok=23   changed=0    unreachable=0    failed=0    skipped=20   rescued=0    ignored=0   
2025-04-09 02:45:13,345 p=42190 u=root n=ansible | rh8-idx-2                  : ok=23   changed=0    unreachable=0    failed=0    skipped=20   rescued=0    ignored=0   
2025-04-09 02:45:13,346 p=42190 u=root n=ansible | rh8-sh-1                   : ok=23   changed=0    unreachable=0    failed=0    skipped=20   rescued=0    ignored=0   
2025-04-09 02:49:08,348 p=42957 u=root n=ansible | Encryption successful
2025-04-09 02:49:49,485 p=43080 u=root n=ansible | Decryption successful
2025-04-09 02:50:51,412 p=43145 u=root n=ansible | ERROR! input is not vault encrypted data/opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/files/splunk.secret is not a vault encrypted file for /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/files/splunk.secret
2025-04-09 02:51:18,636 p=43260 u=root n=ansible | Decryption successful
2025-04-09 02:53:48,201 p=43337 u=root n=ansible | Encryption successful
2025-04-09 02:54:12,906 p=43405 u=root n=ansible | PLAY [Remove Splunk Installation Playbook] ***********************************************************************************************************
2025-04-09 02:54:12,944 p=43405 u=root n=ansible | TASK [Warning 1: This will completely remove Splunk from the target systems.] ************************************************************************
2025-04-09 02:54:12,968 p=43414 u=root n=ansible | [Warning 1: This will completely remove Splunk from the target systems.]
WARNING 1: Are you sure you want to proceed? (yes/no):
2025-04-09 02:54:14,653 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:14,672 p=43405 u=root n=ansible | TASK [Warning 2: All Splunk data and configurations will be deleted.] ********************************************************************************
2025-04-09 02:54:14,691 p=43433 u=root n=ansible | [Warning 2: All Splunk data and configurations will be deleted.]
WARNING 2: Do you understand the implications? (yes/no):
2025-04-09 02:54:14,763 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:14,783 p=43405 u=root n=ansible | TASK [Warning 3: This action is irreversible. Proceed with caution.] *********************************************************************************
2025-04-09 02:54:14,801 p=43435 u=root n=ansible | [Warning 3: This action is irreversible. Proceed with caution.]
WARNING 3: Confirm to continue with the uninstallation. (yes/no):
2025-04-09 02:54:14,940 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:14,967 p=43405 u=root n=ansible | TASK [Remove Splunk] *********************************************************************************************************************************
2025-04-09 02:54:15,282 p=43405 u=root n=ansible | TASK [splunk : Include prerequisites] ****************************************************************************************************************
2025-04-09 02:54:15,467 p=43405 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/prereqs.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:54:15,499 p=43405 u=root n=ansible | TASK [splunk : install acl package] ******************************************************************************************************************
2025-04-09 02:54:27,612 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:28,260 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:28,261 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:28,801 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:28,821 p=43405 u=root n=ansible | TASK [Reset value of start_splunk_handler_fired and configure_boot_start] ****************************************************************************
2025-04-09 02:54:28,857 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:28,887 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:28,918 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:28,932 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:28,953 p=43405 u=root n=ansible | TASK [splunk : Set boot-start method to systemd] *****************************************************************************************************
2025-04-09 02:54:29,019 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:29,051 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:29,066 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:29,099 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:29,120 p=43405 u=root n=ansible | TASK [splunk : Set boot-start method to initd] *******************************************************************************************************
2025-04-09 02:54:29,153 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:29,182 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:29,212 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:29,220 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:29,241 p=43405 u=root n=ansible | TASK [splunk : Configure vars for full package] ******************************************************************************************************
2025-04-09 02:54:29,338 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:29,339 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:29,362 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:29,394 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:29,415 p=43405 u=root n=ansible | TASK [Configure var for splunk systemd service handler] **********************************************************************************************
2025-04-09 02:54:29,549 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:29,551 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:29,571 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:29,602 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:29,623 p=43405 u=root n=ansible | TASK [splunk : Configure vars for uf package] ********************************************************************************************************
2025-04-09 02:54:29,686 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:29,719 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:29,730 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:29,763 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:29,783 p=43405 u=root n=ansible | TASK [splunk : Setting least priviledged mode] *******************************************************************************************************
2025-04-09 02:54:29,849 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:29,880 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:29,893 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:29,926 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:29,948 p=43405 u=root n=ansible | TASK [Configure var for splunkforwarder systemd service handler] *************************************************************************************
